type,statement,template
verifiable-true,Growing and reproducing are two life processes that occur in both plants and humans.,Growing and reproducing are two life processes that occur in both plants and humans.
verifiable-true,A light year refers to the distance light travels in one year.,A light year refers to the distance light travels in one year.
verifiable-true,"Compared to sulfur [s], carbon [c] is better able to combine itself and hydrogen [h] to form large molecules.","Compared to sulfur [s], carbon [c] is better able to combine itself and hydrogen [h] to form large molecules."
verifiable-true,Carbon dioxide produced by cells is removed from the body primarily by the respiratory system.,Carbon dioxide produced by cells is removed from the body primarily by the respiratory system.
verifiable-true,All of the different organisms interacting in a pond make up a community.,All of the different organisms interacting in a pond make up a community.
verifiable-true,Washing hands helps keeping people from getting sick because it washes away germs.,Washing hands helps keeping people from getting sick because it washes away germs.
verifiable-true,The luster of a mineral is useful to group sample minerals into dull and shiny groups.,The luster of a mineral is useful to group sample minerals into dull and shiny groups.
verifiable-true,"Virus infections can cause various symptoms, such as cough, fever, and a sore throat.","Virus infections can cause various symptoms, such as cough, fever, and a sore throat."
verifiable-true,"The excessive use of nitrogen-based fertilizers causes runoff, increasing the nitrogen content of lakes and, consequently, increasing the rate of algae growth.","The excessive use of nitrogen-based fertilizers causes runoff, increasing the nitrogen content of lakes and, consequently, increasing the rate of algae growth."
verifiable-true,"The three common states of matter are solid, gas, liquid.","The three common states of matter are solid, gas, liquid."
verifiable-true,Mountains are formed along tectonic plates.,Mountains are formed along tectonic plates.
verifiable-true,The decoder of a communication system converts binary code into recognizable characters.,The decoder of a communication system converts binary code into recognizable characters.
verifiable-true,A lubrificant is applied to moving parts of a machine to increase the efficiency of the machine.,A lubrificant is applied to moving parts of a machine to increase the efficiency of the machine.
verifiable-true,The skeletal system exerts the same function as the xylem cells in a tree.,The skeletal system exerts the same function as the xylem cells in a tree.
verifiable-true,The temperature that the water freezes does not depend on the amount of liquid.,The temperature that the water freezes does not depend on the amount of liquid.
verifiable-true,Metal pans are good conductors.,Metal pans are good conductors.
verifiable-true,The barometer measures air pressure.,The barometer measures air pressure.
verifiable-true,Meter stick and spring scales are necessary to measure the effects of friction on a block of wood.,Meter stick and spring scales are necessary to measure the effects of friction on a block of wood.
verifiable-true,The discovery of penicillin helped in the treatment of infections.,The discovery of penicillin helped in the treatment of infections.
verifiable-true,The body breaks down sugar to release energy.,The body breaks down sugar to release energy.
verifiable-true,The daily occurrence of tides at regular times is due to the gravitational pull of the sun and the moon.,The daily occurrence of tides at regular times is due to the gravitational pull of the sun and the moon.
verifiable-true,The development of insect-resistant crop plants makes it unnecessary to spray plants with pesticides.,The development of insect-resistant crop plants makes it unnecessary to spray plants with pesticides.
verifiable-true,Obtaining other opinions concerning what should happen during the investigation is useful to reduce bias during investigations of living organisms.,Obtaining other opinions concerning what should happen during the investigation is useful to reduce bias during investigations of living organisms.
verifiable-true,Archaebacteria thrive in hot water environments and do not need sunlight or oxygen to live.,Archaebacteria thrive in hot water environments and do not need sunlight or oxygen to live.
