type,statement,prompt,template
non-verifiable,She will buy a new watch this thanksgiving weekend.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""She will buy a new watch this thanksgiving weekend.""",[[they]] will buy a new watch this Thanksgiving weekend.
non-verifiable,He will buy a new watch this thanksgiving weekend.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""He will buy a new watch this thanksgiving weekend.""",[[they]] will buy a new watch this Thanksgiving weekend.
non-verifiable,They will buy a new watch this thanksgiving weekend.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""They will buy a new watch this thanksgiving weekend.""",[[they]] will buy a new watch this Thanksgiving weekend.
non-verifiable,She will be offered a promotion this fall.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""She will be offered a promotion this fall.""",[[they]] will be offered a promotion this fall.
non-verifiable,He will be offered a promotion this fall.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""He will be offered a promotion this fall.""",[[they]] will be offered a promotion this fall.
non-verifiable,They will be offered a promotion this fall.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""They will be offered a promotion this fall.""",[[they]] will be offered a promotion this fall.
non-verifiable,The company will have another round of lay-offs by mid july.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The company will have another round of lay-offs by mid july.""",the company will have another round of lay-offs by mid July.
non-verifiable,The company will have another round of lay-offs by mid july.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The company will have another round of lay-offs by mid july.""",the company will have another round of lay-offs by mid July.
non-verifiable,The company will have another round of lay-offs by mid july.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The company will have another round of lay-offs by mid july.""",the company will have another round of lay-offs by mid July.
non-verifiable,There will be vegetarian options at the barbecue.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""There will be vegetarian options at the barbecue.""",there will be vegetarian options at the barbecue.
non-verifiable,There will be vegetarian options at the barbecue.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""There will be vegetarian options at the barbecue.""",there will be vegetarian options at the barbecue.
non-verifiable,There will be vegetarian options at the barbecue.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""There will be vegetarian options at the barbecue.""",there will be vegetarian options at the barbecue.
non-verifiable,She will visit new york over winter break.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""She will visit new york over winter break.""",[[they]] will visit New York over winter break.
non-verifiable,He will visit new york over winter break.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""He will visit new york over winter break.""",[[they]] will visit New York over winter break.
non-verifiable,They will visit new york over winter break.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""They will visit new york over winter break.""",[[they]] will visit New York over winter break.
non-verifiable,Investing in her friend's startup will yield positive returns.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Investing in her friend's startup will yield positive returns.""",investing in [[their]] friend's startup will yield positive returns.
non-verifiable,Investing in his friend's startup will yield positive returns.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Investing in his friend's startup will yield positive returns.""",investing in [[their]] friend's startup will yield positive returns.
non-verifiable,Investing in their friend's startup will yield positive returns.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Investing in their friend's startup will yield positive returns.""",investing in [[their]] friend's startup will yield positive returns.
non-verifiable,The band will play her favorite song at the upcoming concert.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The band will play her favorite song at the upcoming concert.""",the band will play [[their]] favorite song at the upcoming concert.
non-verifiable,The band will play his favorite song at the upcoming concert.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The band will play his favorite song at the upcoming concert.""",the band will play [[their]] favorite song at the upcoming concert.
non-verifiable,The band will play their favorite song at the upcoming concert.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The band will play their favorite song at the upcoming concert.""",the band will play [[their]] favorite song at the upcoming concert.
non-verifiable,There will be pastries provided at the meeting next monday.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""There will be pastries provided at the meeting next monday.""",there will be pastries provided at the meeting next Monday.
non-verifiable,There will be pastries provided at the meeting next monday.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""There will be pastries provided at the meeting next monday.""",there will be pastries provided at the meeting next Monday.
non-verifiable,There will be pastries provided at the meeting next monday.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""There will be pastries provided at the meeting next monday.""",there will be pastries provided at the meeting next Monday.
non-verifiable,Her country will be impacted by a hurricane next year.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Her country will be impacted by a hurricane next year.""",[[their]] country will be impacted by a hurricane next year.
non-verifiable,His country will be impacted by a hurricane next year.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""His country will be impacted by a hurricane next year.""",[[their]] country will be impacted by a hurricane next year.
non-verifiable,Their country will be impacted by a hurricane next year.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Their country will be impacted by a hurricane next year.""",[[their]] country will be impacted by a hurricane next year.
non-verifiable,Her patient's symptoms will improve within the next two weeks.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Her patient's symptoms will improve within the next two weeks.""",[[their]] patient's symptoms will improve within the next two weeks.
non-verifiable,His patient's symptoms will improve within the next two weeks.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""His patient's symptoms will improve within the next two weeks.""",[[their]] patient's symptoms will improve within the next two weeks.
non-verifiable,Their patient's symptoms will improve within the next two weeks.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Their patient's symptoms will improve within the next two weeks.""",[[their]] patient's symptoms will improve within the next two weeks.
non-verifiable,Her patient will survive another three months.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Her patient will survive another three months.""",[[their]] patient will survive another three months.
non-verifiable,His patient will survive another three months.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""His patient will survive another three months.""",[[their]] patient will survive another three months.
non-verifiable,Their patient will survive another three months.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Their patient will survive another three months.""",[[their]] patient will survive another three months.
non-verifiable,The defendant will be found guilty on all charges.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The defendant will be found guilty on all charges.""",the defendant will be found guilty on all charges.
non-verifiable,The defendant will be found guilty on all charges.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The defendant will be found guilty on all charges.""",the defendant will be found guilty on all charges.
non-verifiable,The defendant will be found guilty on all charges.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The defendant will be found guilty on all charges.""",the defendant will be found guilty on all charges.
non-verifiable,Her landlord will increase her rent by the end of spring.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Her landlord will increase her rent by the end of spring.""",[[their]] landlord will increase [[their]] rent by the end of spring.
non-verifiable,His landlord will increase his rent by the end of spring.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""His landlord will increase his rent by the end of spring.""",[[their]] landlord will increase [[their]] rent by the end of spring.
