statement_type,name,gender,pronouns,template,is_control,uncertainty_expression,statement_id,statement,prompt,prompt_example,prompt_instruction,statement_uuid,file_id,prompt_instruction_0,prompt_instruction_100
future,Gabriela,female,"{'their': 'her', 'they': 'she'}","[[name]] believes [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",True,control,future_0,[[they]] will buy a new watch this Thanksgiving weekend.,"Gabriela believes she will buy a new watch this Thanksgiving weekend.

Provide a number between 0 and 100 that reflects, from Gabriela's perspective, the probability (expressed as a percentage) that she will buy a new watch this Thanksgiving weekend.

- 0 indicates Gabriela believes there is a 0% chance that she will buy a new watch this Thanksgiving weekend.
- 100 indicates Gabriela believes there is a 100% chance that she will buy a new watch this Thanksgiving weekend.",Gabriela believes she will buy a new watch this Thanksgiving weekend.,"Provide a number between 0 and 100 that reflects, from Gabriela's perspective, the probability (expressed as a percentage) that she will buy a new watch this Thanksgiving weekend.",7a4341c577ab7f4894be6fa42a273830,0,- 0 indicates Gabriela believes there is a 0% chance that she will buy a new watch this Thanksgiving weekend.,- 100 indicates Gabriela believes there is a 100% chance that she will buy a new watch this Thanksgiving weekend.
future,Ethel,female,"{'their': 'her', 'they': 'she'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,almost certain,future_1,[[they]] will be offered a promotion this fall.,"Ethel believes it's almost certain that she will be offered a promotion this fall.

Provide a number between 0 and 100 that reflects, from Ethel's perspective, the probability (expressed as a percentage) that she will be offered a promotion this fall.

- 0 indicates Ethel believes there is a 0% chance that she will be offered a promotion this fall.
- 100 indicates Ethel believes there is a 100% chance that she will be offered a promotion this fall.",Ethel believes it's almost certain that she will be offered a promotion this fall.,"Provide a number between 0 and 100 that reflects, from Ethel's perspective, the probability (expressed as a percentage) that she will be offered a promotion this fall.",20ecf212bf6136ef27c3a1b959288800,0,- 0 indicates Ethel believes there is a 0% chance that she will be offered a promotion this fall.,- 100 indicates Ethel believes there is a 100% chance that she will be offered a promotion this fall.
future,Silvia,female,"{'their': 'her', 'they': 'she'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,highly likely,future_2,the company will have another round of lay-offs by mid July.,"Silvia believes it's highly likely that the company will have another round of lay-offs by mid July.

Provide a number between 0 and 100 that reflects, from Silvia's perspective, the probability (expressed as a percentage) that the company will have another round of lay-offs by mid July.

- 0 indicates Silvia believes there is a 0% chance that the company will have another round of lay-offs by mid July.
- 100 indicates Silvia believes there is a 100% chance that the company will have another round of lay-offs by mid July.",Silvia believes it's highly likely that the company will have another round of lay-offs by mid July.,"Provide a number between 0 and 100 that reflects, from Silvia's perspective, the probability (expressed as a percentage) that the company will have another round of lay-offs by mid July.",fb72f358e88d502f23d3a8fcd8514f9d,0,- 0 indicates Silvia believes there is a 0% chance that the company will have another round of lay-offs by mid July.,- 100 indicates Silvia believes there is a 100% chance that the company will have another round of lay-offs by mid July.
future,Mike,male,"{'their': 'his', 'they': 'he'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,very likely,future_3,there will be vegetarian options at the barbecue.,"Mike believes it's very likely that there will be vegetarian options at the barbecue.

Provide a number between 0 and 100 that reflects, from Mike's perspective, the probability (expressed as a percentage) that there will be vegetarian options at the barbecue.

- 0 indicates Mike believes there is a 0% chance that there will be vegetarian options at the barbecue.
- 100 indicates Mike believes there is a 100% chance that there will be vegetarian options at the barbecue.",Mike believes it's very likely that there will be vegetarian options at the barbecue.,"Provide a number between 0 and 100 that reflects, from Mike's perspective, the probability (expressed as a percentage) that there will be vegetarian options at the barbecue.",2558d2c59860115e55622d0a6884e27d,0,- 0 indicates Mike believes there is a 0% chance that there will be vegetarian options at the barbecue.,- 100 indicates Mike believes there is a 100% chance that there will be vegetarian options at the barbecue.
future,Kenny,male,"{'their': 'his', 'they': 'he'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,probable,future_4,[[they]] will visit New York over winter break.,"Kenny believes it's probable that he will visit New York over winter break.

Provide a number between 0 and 100 that reflects, from Kenny's perspective, the probability (expressed as a percentage) that he will visit New York over winter break.

- 0 indicates Kenny believes there is a 0% chance that he will visit New York over winter break.
- 100 indicates Kenny believes there is a 100% chance that he will visit New York over winter break.",Kenny believes it's probable that he will visit New York over winter break.,"Provide a number between 0 and 100 that reflects, from Kenny's perspective, the probability (expressed as a percentage) that he will visit New York over winter break.",476e5e2975986f463e1fe06d9c3b2410,0,- 0 indicates Kenny believes there is a 0% chance that he will visit New York over winter break.,- 100 indicates Kenny believes there is a 100% chance that he will visit New York over winter break.
future,David,male,"{'their': 'his', 'they': 'he'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,likely,future_5,investing in [[their]] friend's startup will yield positive returns.,"David believes it's likely that investing in his friend's startup will yield positive returns.

Provide a number between 0 and 100 that reflects, from David's perspective, the probability (expressed as a percentage) that investing in his friend's startup will yield positive returns.

- 0 indicates David believes there is a 0% chance that investing in his friend's startup will yield positive returns.
- 100 indicates David believes there is a 100% chance that investing in his friend's startup will yield positive returns.",David believes it's likely that investing in his friend's startup will yield positive returns.,"Provide a number between 0 and 100 that reflects, from David's perspective, the probability (expressed as a percentage) that investing in his friend's startup will yield positive returns.",4f8e0956dfa6c7a21502c97604218015,0,- 0 indicates David believes there is a 0% chance that investing in his friend's startup will yield positive returns.,- 100 indicates David believes there is a 100% chance that investing in his friend's startup will yield positive returns.
future,Nathan,male,"{'their': 'his', 'they': 'he'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,somewhat likely,future_6,the band will play [[their]] favorite song at the upcoming concert.,"Nathan believes it's somewhat likely that the band will play his favorite song at the upcoming concert.

Provide a number between 0 and 100 that reflects, from Nathan's perspective, the probability (expressed as a percentage) that the band will play his favorite song at the upcoming concert.

- 0 indicates Nathan believes there is a 0% chance that the band will play his favorite song at the upcoming concert.
- 100 indicates Nathan believes there is a 100% chance that the band will play his favorite song at the upcoming concert.",Nathan believes it's somewhat likely that the band will play his favorite song at the upcoming concert.,"Provide a number between 0 and 100 that reflects, from Nathan's perspective, the probability (expressed as a percentage) that the band will play his favorite song at the upcoming concert.",ebb6258f68d9fd75a1bff33434300b9e,0,- 0 indicates Nathan believes there is a 0% chance that the band will play his favorite song at the upcoming concert.,- 100 indicates Nathan believes there is a 100% chance that the band will play his favorite song at the upcoming concert.
future,Cheri,female,"{'their': 'her', 'they': 'she'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,somewhat unlikely,future_7,there will be pastries provided at the meeting next Monday.,"Cheri believes it's somewhat unlikely that there will be pastries provided at the meeting next Monday.

Provide a number between 0 and 100 that reflects, from Cheri's perspective, the probability (expressed as a percentage) that there will be pastries provided at the meeting next Monday.

- 0 indicates Cheri believes there is a 0% chance that there will be pastries provided at the meeting next Monday.
- 100 indicates Cheri believes there is a 100% chance that there will be pastries provided at the meeting next Monday.",Cheri believes it's somewhat unlikely that there will be pastries provided at the meeting next Monday.,"Provide a number between 0 and 100 that reflects, from Cheri's perspective, the probability (expressed as a percentage) that there will be pastries provided at the meeting next Monday.",d9499ad8871a68b79c661b4f808a5805,0,- 0 indicates Cheri believes there is a 0% chance that there will be pastries provided at the meeting next Monday.,- 100 indicates Cheri believes there is a 100% chance that there will be pastries provided at the meeting next Monday.
future,Camille,female,"{'their': 'her', 'they': 'she'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,uncertain,future_8,[[their]] country will be impacted by a hurricane next year.,"Camille believes it's uncertain that her country will be impacted by a hurricane next year.

Provide a number between 0 and 100 that reflects, from Camille's perspective, the probability (expressed as a percentage) that her country will be impacted by a hurricane next year.

- 0 indicates Camille believes there is a 0% chance that her country will be impacted by a hurricane next year.
- 100 indicates Camille believes there is a 100% chance that her country will be impacted by a hurricane next year.",Camille believes it's uncertain that her country will be impacted by a hurricane next year.,"Provide a number between 0 and 100 that reflects, from Camille's perspective, the probability (expressed as a percentage) that her country will be impacted by a hurricane next year.",5b2e5a54db6c5f8a8bf111d06abb42ef,0,- 0 indicates Camille believes there is a 0% chance that her country will be impacted by a hurricane next year.,- 100 indicates Camille believes there is a 100% chance that her country will be impacted by a hurricane next year.
future,Marco,male,"{'their': 'his', 'they': 'he'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,possible,future_9,[[their]] patient's symptoms will improve within the next two weeks.,"Marco believes it's possible that his patient's symptoms will improve within the next two weeks.

Provide a number between 0 and 100 that reflects, from Marco's perspective, the probability (expressed as a percentage) that his patient's symptoms will improve within the next two weeks.

- 0 indicates Marco believes there is a 0% chance that his patient's symptoms will improve within the next two weeks.
- 100 indicates Marco believes there is a 100% chance that his patient's symptoms will improve within the next two weeks.",Marco believes it's possible that his patient's symptoms will improve within the next two weeks.,"Provide a number between 0 and 100 that reflects, from Marco's perspective, the probability (expressed as a percentage) that his patient's symptoms will improve within the next two weeks.",2cb96e2e4be228706ac0385ca5ee5400,0,- 0 indicates Marco believes there is a 0% chance that his patient's symptoms will improve within the next two weeks.,- 100 indicates Marco believes there is a 100% chance that his patient's symptoms will improve within the next two weeks.
