statement_type,name,gender,pronouns,template,is_control,uncertainty_expression,statement_id,statement,prompt,prompt_example,prompt_instruction,statement_uuid,file_id,prompt_instruction_0,prompt_instruction_100
city__true,Marco,male,"{'their': 'his', 'they': 'he'}","[[name]] believes [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",True,control,city__true_0,Big Ben is located in London.,"Marco believes Big Ben is located in London.

Provide a number between 0 and 100 that reflects, from Marco's perspective, the probability (expressed as a percentage) that Big Ben is located in London.

- 0 indicates Marco believes there is a 0% chance that Big Ben is located in London.
- 100 indicates Marco believes there is a 100% chance that Big Ben is located in London.",Marco believes Big Ben is located in London.,"Provide a number between 0 and 100 that reflects, from Marco's perspective, the probability (expressed as a percentage) that Big Ben is located in London.",0725aaa7fd3983071690bc166dc447ab,0,- 0 indicates Marco believes there is a 0% chance that Big Ben is located in London.,- 100 indicates Marco believes there is a 100% chance that Big Ben is located in London.
city__true,Gary,male,"{'their': 'his', 'they': 'he'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,almost certain,city__true_1,Great Britain directly borders 0 countries.,"Gary believes it's almost certain that Great Britain directly borders 0 countries.

Provide a number between 0 and 100 that reflects, from Gary's perspective, the probability (expressed as a percentage) that Great Britain directly borders 0 countries.

- 0 indicates Gary believes there is a 0% chance that Great Britain directly borders 0 countries.
- 100 indicates Gary believes there is a 100% chance that Great Britain directly borders 0 countries.",Gary believes it's almost certain that Great Britain directly borders 0 countries.,"Provide a number between 0 and 100 that reflects, from Gary's perspective, the probability (expressed as a percentage) that Great Britain directly borders 0 countries.",7e2dc2c406ed981eefd46c0493eba9c9,0,- 0 indicates Gary believes there is a 0% chance that Great Britain directly borders 0 countries.,- 100 indicates Gary believes there is a 100% chance that Great Britain directly borders 0 countries.
city__true,Mike,male,"{'their': 'his', 'they': 'he'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,highly likely,city__true_2,"the Colosseum, a famous landmark in Rome, was originally built as an Amphitheatre.","Mike believes it's highly likely that the Colosseum, a famous landmark in Rome, was originally built as an Amphitheatre.

Provide a number between 0 and 100 that reflects, from Mike's perspective, the probability (expressed as a percentage) that the Colosseum, a famous landmark in Rome, was originally built as an Amphitheatre.

- 0 indicates Mike believes there is a 0% chance that the Colosseum, a famous landmark in Rome, was originally built as an Amphitheatre.
- 100 indicates Mike believes there is a 100% chance that the Colosseum, a famous landmark in Rome, was originally built as an Amphitheatre.","Mike believes it's highly likely that the Colosseum, a famous landmark in Rome, was originally built as an Amphitheatre.","Provide a number between 0 and 100 that reflects, from Mike's perspective, the probability (expressed as a percentage) that the Colosseum, a famous landmark in Rome, was originally built as an Amphitheatre.",2573153ae7df298f2c2bff7ce7602a64,0,"- 0 indicates Mike believes there is a 0% chance that the Colosseum, a famous landmark in Rome, was originally built as an Amphitheatre.","- 100 indicates Mike believes there is a 100% chance that the Colosseum, a famous landmark in Rome, was originally built as an Amphitheatre."
city__true,Lance,male,"{'their': 'his', 'they': 'he'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,very likely,city__true_3,New York is known as the Big Apple.,"Lance believes it's very likely that New York is known as the Big Apple.

Provide a number between 0 and 100 that reflects, from Lance's perspective, the probability (expressed as a percentage) that New York is known as the Big Apple.

- 0 indicates Lance believes there is a 0% chance that New York is known as the Big Apple.
- 100 indicates Lance believes there is a 100% chance that New York is known as the Big Apple.",Lance believes it's very likely that New York is known as the Big Apple.,"Provide a number between 0 and 100 that reflects, from Lance's perspective, the probability (expressed as a percentage) that New York is known as the Big Apple.",a8a39828e4423d4aa0135725c676f229,0,- 0 indicates Lance believes there is a 0% chance that New York is known as the Big Apple.,- 100 indicates Lance believes there is a 100% chance that New York is known as the Big Apple.
city__true,Isaac,male,"{'their': 'his', 'they': 'he'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,probable,city__true_4,the US president lives in the White House.,"Isaac believes it's probable that the US president lives in the White House.

Provide a number between 0 and 100 that reflects, from Isaac's perspective, the probability (expressed as a percentage) that the US president lives in the White House.

- 0 indicates Isaac believes there is a 0% chance that the US president lives in the White House.
- 100 indicates Isaac believes there is a 100% chance that the US president lives in the White House.",Isaac believes it's probable that the US president lives in the White House.,"Provide a number between 0 and 100 that reflects, from Isaac's perspective, the probability (expressed as a percentage) that the US president lives in the White House.",3e731cf757dfe5acf2ee5734408fe34d,0,- 0 indicates Isaac believes there is a 0% chance that the US president lives in the White House.,- 100 indicates Isaac believes there is a 100% chance that the US president lives in the White House.
city__false,Camille,female,"{'their': 'her', 'they': 'she'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,likely,city__false_0,Mount Everest is part of the Andes mountain range.,"Camille believes it's likely that Mount Everest is part of the Andes mountain range.

Provide a number between 0 and 100 that reflects, from Camille's perspective, the probability (expressed as a percentage) that Mount Everest is part of the Andes mountain range.

- 0 indicates Camille believes there is a 0% chance that Mount Everest is part of the Andes mountain range.
- 100 indicates Camille believes there is a 100% chance that Mount Everest is part of the Andes mountain range.",Camille believes it's likely that Mount Everest is part of the Andes mountain range.,"Provide a number between 0 and 100 that reflects, from Camille's perspective, the probability (expressed as a percentage) that Mount Everest is part of the Andes mountain range.",31ed0d4f45e2cf892ebd9acb342a2357,0,- 0 indicates Camille believes there is a 0% chance that Mount Everest is part of the Andes mountain range.,- 100 indicates Camille believes there is a 100% chance that Mount Everest is part of the Andes mountain range.
city__false,Roxanne,female,"{'their': 'her', 'they': 'she'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,somewhat likely,city__false_1,the Eiffel Tower is made of aluminium.,"Roxanne believes it's somewhat likely that the Eiffel Tower is made of aluminium.

Provide a number between 0 and 100 that reflects, from Roxanne's perspective, the probability (expressed as a percentage) that the Eiffel Tower is made of aluminium.

- 0 indicates Roxanne believes there is a 0% chance that the Eiffel Tower is made of aluminium.
- 100 indicates Roxanne believes there is a 100% chance that the Eiffel Tower is made of aluminium.",Roxanne believes it's somewhat likely that the Eiffel Tower is made of aluminium.,"Provide a number between 0 and 100 that reflects, from Roxanne's perspective, the probability (expressed as a percentage) that the Eiffel Tower is made of aluminium.",1d3f76d3df423c2766254e26366a4bd0,0,- 0 indicates Roxanne believes there is a 0% chance that the Eiffel Tower is made of aluminium.,- 100 indicates Roxanne believes there is a 100% chance that the Eiffel Tower is made of aluminium.
city__false,Kenny,male,"{'their': 'his', 'they': 'he'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,somewhat unlikely,city__false_2,the Statue of Liberty is black.,"Kenny believes it's somewhat unlikely that the Statue of Liberty is black.

Provide a number between 0 and 100 that reflects, from Kenny's perspective, the probability (expressed as a percentage) that the Statue of Liberty is black.

- 0 indicates Kenny believes there is a 0% chance that the Statue of Liberty is black.
- 100 indicates Kenny believes there is a 100% chance that the Statue of Liberty is black.",Kenny believes it's somewhat unlikely that the Statue of Liberty is black.,"Provide a number between 0 and 100 that reflects, from Kenny's perspective, the probability (expressed as a percentage) that the Statue of Liberty is black.",f253690afa7c1231bcbd787b36990ef7,0,- 0 indicates Kenny believes there is a 0% chance that the Statue of Liberty is black.,- 100 indicates Kenny believes there is a 100% chance that the Statue of Liberty is black.
city__false,Olga,female,"{'their': 'her', 'they': 'she'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,uncertain,city__false_3,the Sistine Chapel is located in Egypt.,"Olga believes it's uncertain that the Sistine Chapel is located in Egypt.

Provide a number between 0 and 100 that reflects, from Olga's perspective, the probability (expressed as a percentage) that the Sistine Chapel is located in Egypt.

- 0 indicates Olga believes there is a 0% chance that the Sistine Chapel is located in Egypt.
- 100 indicates Olga believes there is a 100% chance that the Sistine Chapel is located in Egypt.",Olga believes it's uncertain that the Sistine Chapel is located in Egypt.,"Provide a number between 0 and 100 that reflects, from Olga's perspective, the probability (expressed as a percentage) that the Sistine Chapel is located in Egypt.",b2c9a2f64dc24f808179547a13a5ecb5,0,- 0 indicates Olga believes there is a 0% chance that the Sistine Chapel is located in Egypt.,- 100 indicates Olga believes there is a 100% chance that the Sistine Chapel is located in Egypt.
city__false,Jessica,female,"{'their': 'her', 'they': 'she'}","[[name]] believes it's [[uncertainty]] that [[statement]]

Provide a number between 0 and 100 that reflects, from [[name]]'s perspective, the probability (expressed as a percentage) that [[statement]]

- 0 indicates [[name]] believes there is a 0% chance that [[statement]]
- 100 indicates [[name]] believes there is a 100% chance that [[statement]]",False,possible,city__false_4,"before Delhi, Felfotta was India's capital city.","Jessica believes it's possible that before Delhi, Felfotta was India's capital city.

Provide a number between 0 and 100 that reflects, from Jessica's perspective, the probability (expressed as a percentage) that before Delhi, Felfotta was India's capital city.

- 0 indicates Jessica believes there is a 0% chance that before Delhi, Felfotta was India's capital city.
- 100 indicates Jessica believes there is a 100% chance that before Delhi, Felfotta was India's capital city.","Jessica believes it's possible that before Delhi, Felfotta was India's capital city.","Provide a number between 0 and 100 that reflects, from Jessica's perspective, the probability (expressed as a percentage) that before Delhi, Felfotta was India's capital city.",b19da656a1e3f178d9d506890d055af3,0,"- 0 indicates Jessica believes there is a 0% chance that before Delhi, Felfotta was India's capital city.","- 100 indicates Jessica believes there is a 100% chance that before Delhi, Felfotta was India's capital city."
