firebase_id,uncertainty_expression,index,response
1kU8F49rsUPJTwO552cRIzkBfrt1,highly unlikely,4,5
1kU8F49rsUPJTwO552cRIzkBfrt1,unlikely,1,5
1kU8F49rsUPJTwO552cRIzkBfrt1,uncertain,3,5
1kU8F49rsUPJTwO552cRIzkBfrt1,likely,5,95
1kU8F49rsUPJTwO552cRIzkBfrt1,highly likely,2,95
280zzjPNAfUUIiDLw9kcR6hDYmf1,highly unlikely,3,5
280zzjPNAfUUIiDLw9kcR6hDYmf1,unlikely,4,30
280zzjPNAfUUIiDLw9kcR6hDYmf1,uncertain,1,40
280zzjPNAfUUIiDLw9kcR6hDYmf1,likely,5,70
280zzjPNAfUUIiDLw9kcR6hDYmf1,highly likely,2,95
2O1dSdzaaBX1Tt7HHAGqxQcYMQM2,highly unlikely,3,5
2O1dSdzaaBX1Tt7HHAGqxQcYMQM2,unlikely,1,10
2O1dSdzaaBX1Tt7HHAGqxQcYMQM2,uncertain,2,50
2O1dSdzaaBX1Tt7HHAGqxQcYMQM2,likely,4,90
2O1dSdzaaBX1Tt7HHAGqxQcYMQM2,highly likely,5,95
2qBBwzj16lggjI19zRZOoN96ZQ33,highly unlikely,4,5
2qBBwzj16lggjI19zRZOoN96ZQ33,unlikely,1,25
2qBBwzj16lggjI19zRZOoN96ZQ33,uncertain,3,50
2qBBwzj16lggjI19zRZOoN96ZQ33,likely,5,80
2qBBwzj16lggjI19zRZOoN96ZQ33,highly likely,2,95
3j6gkgQNaPhik9wTOqQ5nbmrHHO2,highly unlikely,4,0
3j6gkgQNaPhik9wTOqQ5nbmrHHO2,unlikely,2,10
3j6gkgQNaPhik9wTOqQ5nbmrHHO2,uncertain,3,30
3j6gkgQNaPhik9wTOqQ5nbmrHHO2,likely,5,90
3j6gkgQNaPhik9wTOqQ5nbmrHHO2,highly likely,1,100
3lIZL2KI85ZcowCG2GgzopcMB5y2,highly unlikely,5,90
3lIZL2KI85ZcowCG2GgzopcMB5y2,unlikely,2,0
3lIZL2KI85ZcowCG2GgzopcMB5y2,uncertain,3,50
3lIZL2KI85ZcowCG2GgzopcMB5y2,likely,4,50
3lIZL2KI85ZcowCG2GgzopcMB5y2,highly likely,1,90
44HklpDB1DZipvV6elcmP4Q9Bjy1,highly unlikely,2,15
44HklpDB1DZipvV6elcmP4Q9Bjy1,unlikely,1,35
44HklpDB1DZipvV6elcmP4Q9Bjy1,uncertain,5,50
44HklpDB1DZipvV6elcmP4Q9Bjy1,likely,4,65
44HklpDB1DZipvV6elcmP4Q9Bjy1,highly likely,3,85
4vcHGaEXt7OvZrkrPwjVfXAWs1i1,highly unlikely,3,0
4vcHGaEXt7OvZrkrPwjVfXAWs1i1,unlikely,2,15
4vcHGaEXt7OvZrkrPwjVfXAWs1i1,uncertain,4,10
4vcHGaEXt7OvZrkrPwjVfXAWs1i1,likely,5,95
4vcHGaEXt7OvZrkrPwjVfXAWs1i1,highly likely,1,100
5diQKyyDeWdEkkaNO75rI0CymrW2,highly unlikely,1,10
5diQKyyDeWdEkkaNO75rI0CymrW2,unlikely,4,25
5diQKyyDeWdEkkaNO75rI0CymrW2,uncertain,2,50
5diQKyyDeWdEkkaNO75rI0CymrW2,likely,5,75
5diQKyyDeWdEkkaNO75rI0CymrW2,highly likely,3,90
67dt2BK0x9ZICuLNNLRLOFKsWe92,highly unlikely,4,10
67dt2BK0x9ZICuLNNLRLOFKsWe92,unlikely,2,25
67dt2BK0x9ZICuLNNLRLOFKsWe92,uncertain,3,40
67dt2BK0x9ZICuLNNLRLOFKsWe92,likely,5,75
